titulo,autores,editorial,fecha_publicacion,isbn,numero_paginas,genero,idioma
Invisible,Marni Bates (Goodreads Author),Kensington -Teen,2013-06-25,9780758269386,274,"['Young Adult', 'Contemporary', 'Romance', 'High School', 'Realistic Fiction', 'Young Adult Contemporary', 'Chick Lit', 'Fiction', 'Humor', 'Coming Of Age']",English
Sea Prayer,"Khaled Hosseini (Goodreads Author), Dan Williams (Illustrator)",Riverhead Books,2018-08-30,B079WM7Z7T,48,"['Poetry', 'Fiction', 'Short Stories', 'Historical Fiction', 'Picture Books', 'Graphic Novels', 'War', 'Contemporary', 'Adult', 'Childrens']",English
Povesti,Ion Creangă,Createspace Independent Publishing Platform,2007-11-06,9781434824424,116,"['Romania', 'Romanian Literature', 'Childrens', 'Fiction']",Romanian
The Billionaire's Curse,"Richard Newsome (Goodreads Author), Jonny Duddle (Illustrator)",Walden Pond Press,2009-08-03,9780061944901,344,"['Mystery', 'Adventure', 'Middle Grade', 'Young Adult', 'Fantasy', 'Fiction', 'Childrens', 'Action', 'Juvenile', 'Mystery Thriller']",English
Anathema,Colleen Coble (Goodreads Author),Thomas Nelson,2008-05-01,9781595542472,336,"['Christian Fiction', 'Amish', 'Christian', 'Fiction', 'Mystery', 'Romance', 'Suspense', 'Amish Fiction', 'Contemporary', 'Christian Romance']",English
The Big Book of Girl Stuff,"Bart King (Goodreads Author), Jennifer Kalis",Gibbs Smith Publishers,2006-09-01,9781586858193,320,"['Nonfiction', 'Childrens', 'Middle Grade']",English
Unnatural Death,Dorothy L. Sayers,HarperTorch,2027-11-05,9780061043581,264,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Classics', 'Detective', 'Mystery Thriller', 'Audiobook', 'Historical Fiction', 'Historical']",English
The Resolution of Callie and Kayden,Jessica Sorensen (Goodreads Author),Sphere,2013-11-06,9780751558845,336,"['New Adult', 'Romance', 'Contemporary', 'College', 'Contemporary Romance', 'Abuse', 'Young Adult', 'Fiction', 'New Adult Romance', 'Drama']",English
In the Night Garden,"Catherynne M. Valente (Goodreads Author), Michael William Kaluta (Illustrator)",Bantam Dell,2006-10-28,9780553384031,483,"['Fantasy', 'Fiction', 'Fairy Tales', 'Short Stories', 'Young Adult', 'Magic', 'Science Fiction Fantasy', 'Mythology', 'Speculative Fiction', 'Retellings']",English
Love Anthony,Lisa Genova (Goodreads Author),Gallery Books,2012-09-01,9781439164686,309,"['Fiction', 'Contemporary', 'Adult Fiction', 'Chick Lit', 'Adult', 'Book Club', 'Psychology', 'Family', 'Audiobook', 'Realistic Fiction']",English
The Essential Jung: Selected Writings,"C.G. Jung, Anthony Storr (Editor)",Princeton University Press,1983-11-06,9780691029351,448,"['Psychology', 'Nonfiction', 'Philosophy', 'Psychoanalysis', 'Science', 'History', 'Spirituality', 'Reference', 'Anthologies', 'Personal Development']",English
The Wandering Fire,Guy Gavriel Kay (Goodreads Author),Roc,1986-05-28,9780451458261,375,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Canada', 'Arthurian', 'Magic', 'Adventure', 'Mythology']",English
Grandmaster,"Warren Murphy, Molly Cochran",Forge,1984-10-30,9780765311634,431,"['Thriller', 'Fiction', 'Mystery', 'Espionage', 'Chess', 'Suspense', 'Mystery Thriller', 'Fantasy']",English
Love the One You're With,Emily Giffin (Goodreads Author),St. Martin's Press,2008-10-28,9780312348670,342,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook', 'Contemporary Romance', 'Marriage', 'Novels']",English
Become a Better You: 7 Keys to Improving Your Life Every Day,Joel Osteen,Free Press,2007-10-30,9780743296885,400,"['Self Help', 'Christian', 'Nonfiction', 'Inspirational', 'Spirituality', 'Religion', 'Christianity', 'Christian Living', 'Personal Development', 'Faith']",English
The Last Leaf,"O. Henry (Editor), Raymond Harris (Editor), Walter Pauk (Editor), Robert J. Pailthorpe (Illustrator)",Jamestown Publishers,2007-10-28,9780890611951,35,"['Short Stories', 'Classics', 'Fiction', 'Literature', 'American', 'School', 'Read For School', 'Novels', 'Drama', 'Inspirational']",English
Persona normal,Benito Taibo,Destino,2011-10-28,9786070708985,216,"['Young Adult', 'Contemporary', 'Spanish Literature', 'Fiction', 'Coming Of Age', 'Drama']",Spanish
